Sex,Decile,Age,Population
Females,8.0,25,29478.0
Females,9.0,25,27007.0
Females,10.0,25,25981.0
Males,1.0,26,38364.0
Males,2.0,26,41614.0
Males,3.0,26,45932.0
Males,4.0,26,44391.0
Males,5.0,26,39504.0
Males,6.0,26,38525.0
Males,7.0,26,34670.0
Males,8.0,26,33024.0
Males,9.0,26,30206.0
Males,10.0,26,27671.0
Females,1.0,26,37743.0
Females,2.0,26,40297.0
Females,3.0,26,44143.0
Females,4.0,26,41766.0
Females,5.0,26,37235.0
Females,6.0,26,36467.0
Females,7.0,26,31704.0
Females,8.0,26,29630.0
Females,9.0,26,27234.0
Females,10.0,26,25144.0
Males,1.0,27,39803.0
Males,2.0,27,42098.0
Males,3.0,27,45476.0
Males,4.0,27,43905.0
Males,5.0,27,39300.0
Males,6.0,27,38106.0
Males,7.0,27,34131.0
Males,8.0,27,32498.0
Males,9.0,27,30053.0
Males,10.0,27,26513.0
Females,1.0,27,40233.0
Females,2.0,27,41799.0
Females,3.0,27,43969.0
Females,4.0,27,41392.0
Females,5.0,27,36947.0
Females,6.0,27,35598.0
Females,7.0,27,31536.0
Females,8.0,27,29965.0
Females,9.0,27,27582.0
Females,10.0,27,24207.0
Males,1.0,28,42005.0
Males,2.0,28,44001.0
Males,3.0,28,47449.0
Males,4.0,28,45707.0
Males,5.0,28,40872.0
Males,6.0,28,39024.0
Males,7.0,28,34617.0
Males,8.0,28,32699.0
Males,9.0,28,30201.0
Males,10.0,28,25927.0
Females,1.0,28,43096.0
Females,2.0,28,43600.0
Females,3.0,28,45367.0
Females,4.0,28,42234.0
Females,5.0,28,37942.0
Females,6.0,28,36771.0
Females,7.0,28,32462.0
Females,8.0,28,30751.0
Females,9.0,28,27676.0
Females,10.0,28,23508.0
Males,1.0,29,42274.0
Males,2.0,29,45144.0
Males,3.0,29,47720.0
Males,4.0,29,45820.0
Males,5.0,29,40656.0
Males,6.0,29,39007.0
Males,7.0,29,34437.0
Males,8.0,29,32435.0
Males,9.0,29,29566.0
Males,10.0,29,24695.0
Females,1.0,29,43901.0
Females,2.0,29,44496.0
Females,3.0,29,45876.0
Females,4.0,29,42499.0
Females,5.0,29,38846.0
Females,6.0,29,37060.0
Females,7.0,29,32077.0
Females,8.0,29,30724.0
Females,9.0,29,27529.0
Females,10.0,29,22428.0
Males,1.0,30,43195.0
Males,2.0,30,45562.0
Males,3.0,30,48633.0
Males,4.0,30,46523.0
Males,5.0,30,41857.0
Males,6.0,30,39902.0
Males,7.0,30,35058.0
Males,8.0,30,33534.0
Males,9.0,30,30129.0
Males,10.0,30,24270.0
Females,1.0,30,45787.0
Females,2.0,30,46239.0
Females,3.0,30,47613.0
Females,4.0,30,44328.0
Females,5.0,30,40059.0
Females,6.0,30,38517.0
Females,7.0,30,33618.0
Females,8.0,30,31814.0
Females,9.0,30,28959.0
Females,10.0,30,22916.0
Males,1.0,31,44676.0
Males,2.0,31,47042.0
Males,3.0,31,50582.0
Males,4.0,31,48373.0
Males,5.0,31,43145.0
Males,6.0,31,41435.0
Males,7.0,31,36128.0
Males,8.0,31,33842.0
Males,9.0,31,30428.0
Males,10.0,31,23963.0
Females,1.0,31,45703.0
Females,2.0,31,46601.0
Females,3.0,31,48095.0
Females,4.0,31,44888.0
Females,5.0,31,40469.0
Females,6.0,31,38970.0
Females,7.0,31,34267.0
Females,8.0,31,32711.0
Females,9.0,31,29707.0
Females,10.0,31,23745.0
Males,1.0,32,44907.0
Males,2.0,32,46604.0
Males,3.0,32,49468.0
Males,4.0,32,46809.0
Males,5.0,32,42177.0
Males,6.0,32,40051.0
Males,7.0,32,35281.0
Males,8.0,32,32949.0
Males,9.0,32,30155.0
Males,10.0,32,24450.0
Females,1.0,32,45310.0
Females,2.0,32,45624.0
Females,3.0,32,46661.0
Females,4.0,32,43838.0
Females,5.0,32,39598.0
Females,6.0,32,38449.0
Females,7.0,32,33731.0
Females,8.0,32,32216.0
Females,9.0,32,29430.0
Females,10.0,32,24256.0
Males,1.0,33,42953.0
Males,2.0,33,45366.0
Males,3.0,33,48291.0
Males,4.0,33,46188.0
Males,5.0,33,41726.0
Males,6.0,33,39143.0
Males,7.0,33,34315.0
Males,8.0,33,32645.0
Males,9.0,33,29967.0
Males,10.0,33,24219.0
Females,1.0,33,44435.0
Females,2.0,33,45639.0
Females,3.0,33,46578.0
Females,4.0,33,43742.0
Females,5.0,33,39629.0
Females,6.0,33,38348.0
Females,7.0,33,34471.0
Females,8.0,33,32483.0
Females,9.0,33,29922.0
Females,10.0,33,24678.0
Males,1.0,34,42253.0
Males,2.0,34,44966.0
Males,3.0,34,48105.0
Males,4.0,34,45941.0
Males,5.0,34,41553.0
Males,6.0,34,39888.0
Males,7.0,34,34782.0
Males,8.0,34,33368.0
Males,9.0,34,30310.0
Males,10.0,34,24786.0
Females,1.0,34,44926.0
Females,2.0,34,45762.0
Females,3.0,34,47027.0
Females,4.0,34,44144.0
Females,5.0,34,40514.0
Females,6.0,34,38869.0
Females,7.0,34,35202.0
Females,8.0,34,33593.0
Females,9.0,34,31216.0
Females,10.0,34,25971.0
Males,1.0,35,40559.0
Males,2.0,35,43750.0
Males,3.0,35,46628.0
Males,4.0,35,44293.0
Males,5.0,35,40136.0
Males,6.0,35,38261.0
Males,7.0,35,33677.0
Males,8.0,35,32052.0
Males,9.0,35,29483.0
Males,10.0,35,23861.0
Females,1.0,35,44006.0
Females,2.0,35,44949.0
Females,3.0,35,45981.0
Females,4.0,35,42660.0
Females,5.0,35,39551.0
Females,6.0,35,38224.0
Females,7.0,35,34895.0
Females,8.0,35,33209.0
Females,9.0,35,31231.0
Females,10.0,35,26547.0
Males,1.0,36,41271.0
Males,2.0,36,44291.0
Males,3.0,36,47312.0
Males,4.0,36,44937.0
Males,5.0,36,40820.0
Males,6.0,36,38918.0
Males,7.0,36,34489.0
Males,8.0,36,32810.0
Males,9.0,36,30435.0
Males,10.0,36,24813.0
Females,1.0,36,42938.0
Females,2.0,36,44239.0
Females,3.0,36,45207.0
Females,4.0,36,42526.0
Females,5.0,36,39396.0
Females,6.0,36,38258.0
Females,7.0,36,35288.0
Females,8.0,36,33703.0
Females,9.0,36,31715.0
Females,10.0,36,27455.0
Males,1.0,37,41567.0
Males,2.0,37,43776.0
Males,3.0,37,46589.0
Males,4.0,37,43726.0
Males,5.0,37,40351.0
Males,6.0,37,38065.0
Males,7.0,37,34563.0
Males,8.0,37,32945.0
Males,9.0,37,30596.0
Males,10.0,37,26395.0
Females,1.0,37,42215.0
Females,2.0,37,43663.0
Females,3.0,37,44488.0
Females,4.0,37,41831.0
Females,5.0,37,39180.0
Females,6.0,37,38033.0
Females,7.0,37,35198.0
Females,8.0,37,34205.0
Females,9.0,37,32617.0
Females,10.0,37,28952.0
Males,1.0,38,39410.0
Males,2.0,38,41989.0
Males,3.0,38,44787.0
Males,4.0,38,42114.0
Males,5.0,38,38720.0
Males,6.0,38,37017.0
Males,7.0,38,33837.0
Males,8.0,38,32432.0
Males,9.0,38,30400.0
Males,10.0,38,26541.0
Females,1.0,38,40814.0
Females,2.0,38,42331.0
Females,3.0,38,42818.0
Females,4.0,38,40517.0
Females,5.0,38,38164.0
Females,6.0,38,37538.0
Females,7.0,38,34792.0
Females,8.0,38,33780.0
Females,9.0,38,32730.0
Females,10.0,38,30303.0
Males,1.0,39,38883.0
Males,2.0,39,41299.0
Males,3.0,39,43551.0
Males,4.0,39,42050.0
Males,5.0,39,38876.0
Males,6.0,39,37315.0
Males,7.0,39,34777.0
Males,8.0,39,33130.0
Males,9.0,39,31380.0
Males,10.0,39,27935.0
Females,1.0,39,40443.0
Females,2.0,39,41882.0
Females,3.0,39,42393.0
